NanoSciFact_cosine_accuracy@1,NanoSciFact_cosine_accuracy@3,NanoSciFact_cosine_accuracy@5,NanoSciFact_cosine_accuracy@10,NanoSciFact_cosine_precision@1,NanoSciFact_cosine_precision@3,NanoSciFact_cosine_precision@5,NanoSciFact_cosine_precision@10,NanoSciFact_cosine_recall@1,NanoSciFact_cosine_recall@3,NanoSciFact_cosine_recall@5,NanoSciFact_cosine_recall@10,NanoSciFact_cosine_ndcg@10,NanoSciFact_cosine_mrr@10,NanoSciFact_cosine_map@100,NanoDBPedia_cosine_accuracy@1,NanoDBPedia_cosine_accuracy@3,NanoDBPedia_cosine_accuracy@5,NanoDBPedia_cosine_accuracy@10,NanoDBPedia_cosine_precision@1,NanoDBPedia_cosine_precision@3,NanoDBPedia_cosine_precision@5,NanoDBPedia_cosine_precision@10,NanoDBPedia_cosine_recall@1,NanoDBPedia_cosine_recall@3,NanoDBPedia_cosine_recall@5,NanoDBPedia_cosine_recall@10,NanoDBPedia_cosine_ndcg@10,NanoDBPedia_cosine_mrr@10,NanoDBPedia_cosine_map@100,NanoQuoraRetrieval_cosine_accuracy@1,NanoQuoraRetrieval_cosine_accuracy@3,NanoQuoraRetrieval_cosine_accuracy@5,NanoQuoraRetrieval_cosine_accuracy@10,NanoQuoraRetrieval_cosine_precision@1,NanoQuoraRetrieval_cosine_precision@3,NanoQuoraRetrieval_cosine_precision@5,NanoQuoraRetrieval_cosine_precision@10,NanoQuoraRetrieval_cosine_recall@1,NanoQuoraRetrieval_cosine_recall@3,NanoQuoraRetrieval_cosine_recall@5,NanoQuoraRetrieval_cosine_recall@10,NanoQuoraRetrieval_cosine_ndcg@10,NanoQuoraRetrieval_cosine_mrr@10,NanoQuoraRetrieval_cosine_map@100,NanoBEIR_mean_cosine_accuracy@1,NanoBEIR_mean_cosine_accuracy@3,NanoBEIR_mean_cosine_accuracy@5,NanoBEIR_mean_cosine_accuracy@10,NanoBEIR_mean_cosine_precision@1,NanoBEIR_mean_cosine_precision@3,NanoBEIR_mean_cosine_precision@5,NanoBEIR_mean_cosine_precision@10,NanoBEIR_mean_cosine_recall@1,NanoBEIR_mean_cosine_recall@3,NanoBEIR_mean_cosine_recall@5,NanoBEIR_mean_cosine_recall@10,NanoBEIR_mean_cosine_ndcg@10,NanoBEIR_mean_cosine_mrr@10,NanoBEIR_mean_cosine_map@100,model_name,timestamp
0.26,0.34,0.38,0.5,0.26,0.1133333333333333,0.08,0.054,0.245,0.315,0.36,0.475,0.3479979623221895,0.3191904761904762,0.3141655036010409,0.38,0.6,0.72,0.78,0.38,0.3466666666666665,0.3279999999999999,0.27,0.0259994839687884,0.0646377849890984,0.1034282177578405,0.1492721145719868,0.3127035049539589,0.512079365079365,0.190512763362396,0.54,0.66,0.74,0.8,0.54,0.2333333333333333,0.16,0.0899999999999999,0.48,0.62,0.6873333333333334,0.7346666666666667,0.626058216960891,0.6186349206349205,0.5825369453768463,0.3933333333333333,0.5333333333333333,0.6133333333333334,0.6933333333333334,0.3933333333333333,0.231111111111111,0.1893333333333333,0.1379999999999999,0.2503331613229294,0.3332125949963662,0.3835871836970579,0.4529795937462178,0.4289198947456798,0.4833015873015872,0.3624050707800944,test_static_embeddings/checkpoint-33,2025-01-25T21:52:58.502524
0.6,0.72,0.8,0.88,0.6,0.2533333333333333,0.18,0.0979999999999999,0.58,0.7,0.8,0.87,0.7265348054031264,0.6841031746031746,0.6810233866101422,0.68,0.86,0.92,0.96,0.68,0.56,0.5120000000000001,0.438,0.0760153153083543,0.1438904710839341,0.206813595256845,0.319966975132044,0.5501100350453579,0.7855000000000001,0.3947615689002453,0.88,0.96,1.0,1.0,0.88,0.3933333333333333,0.256,0.1359999999999999,0.784,0.9186666666666669,0.976,0.9933333333333334,0.9367841595958026,0.9246666666666666,0.913554834054834,0.7200000000000001,0.8466666666666667,0.9066666666666668,0.9466666666666668,0.7200000000000001,0.4022222222222222,0.316,0.224,0.4800051051027847,0.587519045916867,0.660937865085615,0.7277667694884592,0.737809666681429,0.7980899470899471,0.6631132631884071,sentence-transformers/all-MiniLM-L6-V2,2025-01-25T21:53:46.528875
0.58,0.74,0.76,0.8,0.58,0.26,0.1719999999999999,0.0899999999999999,0.57,0.72,0.76,0.79,0.6967062090055108,0.6608333333333333,0.6729729259250132,0.66,0.88,0.88,0.88,0.66,0.58,0.52,0.436,0.0686692447122837,0.1469536963932152,0.2029927661632778,0.2761726522450535,0.5384127811574967,0.7533333333333334,0.3795687653333842,0.84,0.94,0.98,1.0,0.84,0.3999999999999999,0.2639999999999999,0.1399999999999999,0.7273333333333332,0.912,0.9693333333333334,1.0,0.9214024765221924,0.8995238095238095,0.8909603174603175,0.6933333333333334,0.8533333333333334,0.8733333333333334,0.8933333333333334,0.6933333333333334,0.4133333333333333,0.3186666666666666,0.222,0.4553341926818723,0.592984565464405,0.6441086998322038,0.6887242174150178,0.7188404888950667,0.7712301587301588,0.6478340029062383,sentence-transformers/all-mpnet-base-v2,2025-01-25T21:58:51.614439
0.56,0.76,0.78,0.8,0.56,0.28,0.1719999999999999,0.09,0.525,0.755,0.775,0.8,0.6893463810575922,0.6536666666666666,0.6594879067292859,0.62,0.84,0.86,0.96,0.62,0.5466666666666667,0.488,0.436,0.071162522073438,0.1353055238017271,0.1748156464645787,0.3027349022609284,0.5298228572004468,0.7402698412698413,0.3897596391066426,0.94,1.0,1.0,1.0,0.94,0.4133333333333333,0.264,0.1379999999999999,0.8273333333333334,0.9653333333333332,0.9866666666666666,0.9966666666666666,0.9682123846197748,0.9666666666666668,0.9537989417989418,0.7066666666666667,0.8666666666666667,0.88,0.92,0.7066666666666667,0.4133333333333333,0.308,0.2213333333333333,0.4744986184689239,0.6185462857116868,0.6454941043770818,0.699800522975865,0.729127207625938,0.7868677248677249,0.6676821625449567,nomic-ai/modernbert-embed-base,2025-01-25T22:25:44.769457
0.52,0.6,0.62,0.76,0.52,0.20666666666666667,0.132,0.08399999999999999,0.485,0.57,0.595,0.75,0.6111476167014296,0.5836904761904762,0.5683309026222819,0.7,0.84,0.9,0.94,0.7,0.5866666666666666,0.544,0.45199999999999996,0.0804732343549837,0.16047472236902457,0.21798474210348842,0.31433571884014205,0.5681388031303078,0.7853888888888889,0.4334843491187922,0.8,0.96,1.0,1.0,0.8,0.38666666666666655,0.24799999999999997,0.12999999999999998,0.7106666666666667,0.9253333333333333,0.9626666666666668,0.9793333333333334,0.8948828433049527,0.88,0.8591231879231879,0.6733333333333333,0.7999999999999999,0.84,0.9,0.6733333333333333,0.39333333333333326,0.308,0.22199999999999998,0.42537996700721675,0.5519360185674526,0.591883802923385,0.6812230173911585,0.6913897543788967,0.7496931216931216,0.6203128132214206,sentence-transformers/static-retrieval-mrl-en-v1,2025-01-26T10:38:55.006176
